;2;3;5;7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83;89;97
67; (33, 1); (22, 1); (13, 2); (9, 4); (6, 1); (5, 2); (3, 16); (3, 10); (2, 21); (2, 9); (2, 5); (1, 30); (1, 26); (1, 24); (1, 20); (1, 14); (1, 8); (1, 6); (1, 0); ; ; ; ; ; 
68; (34, 0); (22, 2); (13, 3); (9, 5); (6, 2); (5, 3); (4, 0); (3, 11); (2, 22); (2, 10); (2, 6); (1, 31); (1, 27); (1, 25); (1, 21); (1, 15); (1, 9); (1, 7); (1, 1); ; ; ; ; ; 
69; (34, 1); (23, 0); (13, 4); (9, 6); (6, 3); (5, 4); (4, 1); (3, 12); (3, 0); (2, 11); (2, 7); (1, 32); (1, 28); (1, 26); (1, 22); (1, 16); (1, 10); (1, 8); (1, 2); ; ; ; ; ; 
70; (35, 0); (23, 1); (14, 0); (10, 0); (6, 4); (5, 5); (4, 2); (3, 13); (3, 1); (2, 12); (2, 8); (1, 33); (1, 29); (1, 27); (1, 23); (1, 17); (1, 11); (1, 9); (1, 3); ; ; ; ; ; 
71; (35, 1); (23, 2); (14, 1); (10, 1); (6, 5); (5, 6); (4, 3); (3, 14); (3, 2); (2, 13); (2, 9); (1, 34); (1, 30); (1, 28); (1, 24); (1, 18); (1, 12); (1, 10); (1, 4); (1, 0); ; ; ; ; 
72; (36, 0); (24, 0); (14, 2); (10, 2); (6, 6); (5, 7); (4, 4); (3, 15); (3, 3); (2, 14); (2, 10); (1, 35); (1, 31); (1, 29); (1, 25); (1, 19); (1, 13); (1, 11); (1, 5); (1, 1); ; ; ; ; 
73; (36, 1); (24, 1); (14, 3); (10, 3); (6, 7); (5, 8); (4, 5); (3, 16); (3, 4); (2, 15); (2, 11); (1, 36); (1, 32); (1, 30); (1, 26); (1, 20); (1, 14); (1, 12); (1, 6); (1, 2); (1, 0); ; ; ; 
74; (37, 0); (24, 2); (14, 4); (10, 4); (6, 8); (5, 9); (4, 6); (3, 17); (3, 5); (2, 16); (2, 12); (2, 0); (1, 33); (1, 31); (1, 27); (1, 21); (1, 15); (1, 13); (1, 7); (1, 3); (1, 1); ; ; ; 
75; (37, 1); (25, 0); (15, 0); (10, 5); (6, 9); (5, 10); (4, 7); (3, 18); (3, 6); (2, 17); (2, 13); (2, 1); (1, 34); (1, 32); (1, 28); (1, 22); (1, 16); (1, 14); (1, 8); (1, 4); (1, 2); ; ; ; 
76; (38, 0); (25, 1); (15, 1); (10, 6); (6, 10); (5, 11); (4, 8); (4, 0); (3, 7); (2, 18); (2, 14); (2, 2); (1, 35); (1, 33); (1, 29); (1, 23); (1, 17); (1, 15); (1, 9); (1, 5); (1, 3); ; ; ; 
77; (38, 1); (25, 2); (15, 2); (11, 0); (7, 0); (5, 12); (4, 9); (4, 1); (3, 8); (2, 19); (2, 15); (2, 3); (1, 36); (1, 34); (1, 30); (1, 24); (1, 18); (1, 16); (1, 10); (1, 6); (1, 4); ; ; ; 
78; (39, 0); (26, 0); (15, 3); (11, 1); (7, 1); (6, 0); (4, 10); (4, 2); (3, 9); (2, 20); (2, 16); (2, 4); (1, 37); (1, 35); (1, 31); (1, 25); (1, 19); (1, 17); (1, 11); (1, 7); (1, 5); ; ; ; 
79; (39, 1); (26, 1); (15, 4); (11, 2); (7, 2); (6, 1); (4, 11); (4, 3); (3, 10); (2, 21); (2, 17); (2, 5); (1, 38); (1, 36); (1, 32); (1, 26); (1, 20); (1, 18); (1, 12); (1, 8); (1, 6); (1, 0); ; ; 
80; (40, 0); (26, 2); (16, 0); (11, 3); (7, 3); (6, 2); (4, 12); (4, 4); (3, 11); (2, 22); (2, 18); (2, 6); (1, 39); (1, 37); (1, 33); (1, 27); (1, 21); (1, 19); (1, 13); (1, 9); (1, 7); (1, 1); ; ; 
81; (40, 1); (27, 0); (16, 1); (11, 4); (7, 4); (6, 3); (4, 13); (4, 5); (3, 12); (2, 23); (2, 19); (2, 7); (1, 40); (1, 38); (1, 34); (1, 28); (1, 22); (1, 20); (1, 14); (1, 10); (1, 8); (1, 2); ; ; 
82; (41, 0); (27, 1); (16, 2); (11, 5); (7, 5); (6, 4); (4, 14); (4, 6); (3, 13); (2, 24); (2, 20); (2, 8); (2, 0); (1, 39); (1, 35); (1, 29); (1, 23); (1, 21); (1, 15); (1, 11); (1, 9); (1, 3); ; ; 
83; (41, 1); (27, 2); (16, 3); (11, 6); (7, 6); (6, 5); (4, 15); (4, 7); (3, 14); (2, 25); (2, 21); (2, 9); (2, 1); (1, 40); (1, 36); (1, 30); (1, 24); (1, 22); (1, 16); (1, 12); (1, 10); (1, 4); (1, 0); ; 
84; (42, 0); (28, 0); (16, 4); (12, 0); (7, 7); (6, 6); (4, 16); (4, 8); (3, 15); (2, 26); (2, 22); (2, 10); (2, 2); (1, 41); (1, 37); (1, 31); (1, 25); (1, 23); (1, 17); (1, 13); (1, 11); (1, 5); (1, 1); ; 
85; (42, 1); (28, 1); (17, 0); (12, 1); (7, 8); (6, 7); (5, 0); (4, 9); (3, 16); (2, 27); (2, 23); (2, 11); (2, 3); (1, 42); (1, 38); (1, 32); (1, 26); (1, 24); (1, 18); (1, 14); (1, 12); (1, 6); (1, 2); ; 
86; (43, 0); (28, 2); (17, 1); (12, 2); (7, 9); (6, 8); (5, 1); (4, 10); (3, 17); (2, 28); (2, 24); (2, 12); (2, 4); (2, 0); (1, 39); (1, 33); (1, 27); (1, 25); (1, 19); (1, 15); (1, 13); (1, 7); (1, 3); ; 
87; (43, 1); (29, 0); (17, 2); (12, 3); (7, 10); (6, 9); (5, 2); (4, 11); (3, 18); (3, 0); (2, 25); (2, 13); (2, 5); (2, 1); (1, 40); (1, 34); (1, 28); (1, 26); (1, 20); (1, 16); (1, 14); (1, 8); (1, 4); ; 
